items ; Best Fitness ; Execution Time (ms)
10 ; 550 ; 207
20 ; 1166 ; 162
30 ; 1740 ; 184
40 ; 2579 ; 253
50 ; 3388 ; 403
60 ; 4005 ; 322
70 ; 4638 ; 398
80 ; 5287 ; 439
90 ; 5904 ; 461
100 ; 6186 ; 477
110 ; 6494 ; 761
120 ; 6745 ; 549
130 ; 6660 ; 581
140 ; 7169 ; 817
150 ; 6966 ; 750
160 ; 7102 ; 768
170 ; 7139 ; 829
180 ; 7233 ; 789
190 ; 7284 ; 820
200 ; 7282 ; 966
