Generations, Best Fitness, Execution Time (ms)
10 ; 550 ; 55
20 ; 1166 ; 87
30 ; 1740 ; 108
40 ; 2579 ; 189
50 ; 3669 ; 203
60 ; 4959 ; 276
70 ; 6455 ; 370
80 ; 7453 ; 387
90 ; 8115 ; 427
100 ; 8336 ; 466
110 ; 8266 ; 498
120 ; 8589 ; 568
130 ; 8506 ; 735
140 ; 8865 ; 837
150 ; 8589 ; 941
160 ; 8419 ; 873
170 ; 8713 ; 927
180 ; 8410 ; 997
190 ; 8596 ; 1130
200 ; 8627 ; 1311
